type,rt,distr,or,hetero,parameter,p1,p2,p3,p4,p5,p6,auc
base,0.25,mixed uni,2,0,theoretical,0.0938,0.1768,0.2509,0.3176,0.4333,0.5305,0.6137
base,0.25,mixed uni,2,0,mean,0.0955,0.177,0.2502,0.3166,0.432,0.5288,0.6117
base,0.25,mixed uni,2,0,bias,1.6921,0.1925,-0.6643,-1.0471,-1.3379,-1.7033,-2.0092
base,0.25,mixed uni,2,0,se,0.0274,0.0325,0.0323,0.0305,0.0274,0.0259,0.0232
ratio,1,mixed uni,2,0,theoretical,0.0938,0.1768,0.2509,0.3176,0.4333,0.5305,0.6137
ratio,1,mixed uni,2,0,mean,0.0948,0.1765,0.2499,0.3163,0.4318,0.5288,0.6119
ratio,1,mixed uni,2,0,bias,1.021,-0.2767,-1.0145,-1.3378,-1.5206,-1.6947,-1.8264
ratio,1,mixed uni,2,0,se,0.024,0.0284,0.0281,0.0263,0.023,0.0213,0.0189
ratio,0.11,mixed uni,2,0,theoretical,0.0938,0.1768,0.2509,0.3176,0.4333,0.5305,0.6137
ratio,0.11,mixed uni,2,0,mean,0.0988,0.1805,0.2535,0.3195,0.4339,0.5296,0.6118
ratio,0.11,mixed uni,2,0,bias,5.0282,3.6696,2.577,1.8157,0.5359,-0.8837,-1.8787
ratio,0.11,mixed uni,2,0,se,0.033,0.0389,0.0389,0.0374,0.035,0.0337,0.0303
distribution,0.25,beta,2,0,theoretical,0.0938,0.1768,0.2509,0.3176,0.4333,0.5305,0.6137
distribution,0.25,beta,2,0,mean,0.0994,0.1814,0.2546,0.3208,0.436,0.5325,0.6148
distribution,0.25,beta,2,0,bias,5.6117,4.595,3.7158,3.1992,2.6307,1.9501,1.1359
distribution,0.25,beta,2,0,se,0.0366,0.044,0.0441,0.0412,0.0335,0.0271,0.0223
distribution,0.25,uniform,2,0,theoretical,0.0938,0.1768,0.2509,0.3176,0.4333,0.5305,0.6137
distribution,0.25,uniform,2,0,mean,0.0989,0.1809,0.2541,0.3202,0.4352,0.5316,0.614
distribution,0.25,uniform,2,0,bias,5.1458,4.0708,3.1504,2.5755,1.8605,1.081,0.3112
distribution,0.25,uniform,2,0,se,0.0343,0.0409,0.0407,0.0379,0.0309,0.0257,0.0216
odds.ratio,0.25,mixed uni,5,0,theoretical,0.1985,0.3316,0.4287,0.5035,0.6126,0.6894,0.7471
odds.ratio,0.25,mixed uni,5,0,mean,0.2014,0.3311,0.4267,0.5008,0.6091,0.6856,0.7433
odds.ratio,0.25,mixed uni,5,0,bias,2.8839,-0.4791,-1.9749,-2.7185,-3.48,-3.8416,-3.7246
odds.ratio,0.25,mixed uni,5,0,se,0.0486,0.0464,0.0399,0.0342,0.0271,0.0232,0.0197
odds.ratio,0.25,mixed uni,10,0,theoretical,0.3187,0.4755,0.5727,0.6401,0.7292,0.7864,0.8268
odds.ratio,0.25,mixed uni,10,0,mean,0.3233,0.4737,0.5683,0.6346,0.7228,0.78,0.821
